"CITY","COUNTRY","Browser","Operating_System","Country_Code","Date"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"London","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Manchester","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Newcastle","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Northampton","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Norwich","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Norwich","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Norwich","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Nottingham","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Nottingham","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Nottingham","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Salford","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Salford","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Salford","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Southampton","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"St Albans","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Swansea","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
"Taunton","United Kingdom","--","--","GB","Sep 6, 2011 9:38 AM"
,"Australia","IE 8.0","Windows7","AU","Aug 23, 2011 5:35 AM"
,"Australia","Chrome 15.0","WinXP","AU","Dec 1, 2011 3:20 AM"
,"Australia","Safari 5.1.1","MacOs","AU","Dec 1, 2011 9:41 AM"
,"Australia","Safari 5.1.2","MacOs","AU","Dec 10, 2011 1:07 AM"
,"Australia","Safari 4.1.3","MacOs","AU","Dec 11, 2011 10:04 AM"
,"Australia","IE 9.0","WinVista","AU","Dec 11, 2011 10:07 AM"
,"Australia","Chrome 15.0","Windows7","AU","Dec 11, 2011 4:42 AM"
,"Australia","FireFox 4.0","MacOs","AU","Dec 12, 2011 9:07 AM"
,"Australia","IE 9.0","WinVista","AU","Dec 13, 2011 9:01 AM"
